ticker,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,url,d_domain[],address1,address2,city,state,zip,country,fullTimeEmployees,,url,TickerSymbol,dk,CorpNameKITTB,CorpAddress,CorpCity,CorpState,CorpZip,CorpCountry,PublicOrPrivate,NumEmployees,Industry,SIC,SIC2,Ticker match
ACH,Aluminum Corporation of China Limited,7.08,$4.82B,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach,,https://crawl.versium.com/finance.php?cmd=readall&ticker=HMC,honda.co.jp,"2-1-1, Minami-Aoyama",Minato-ku,Tokyo,,107-8556,Japan,219722,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=honda.co.jp, , , , , , , , , , , , , ,
ACHC,"Acadia Healthcare Company, Inc.",27.92,$2.47B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACHC,acadiahealthcare.com,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,28600,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=acadiahealthcare.com,ACHC,acadiahealthcare.com,ACADIA HEALTHCARE,6100 TOWER CIR STE 1000,FRANKLIN,TN,37067,US,Public,40600,Health Services (Miscellaneous),8093,80,TRUE
ACHN,"Achillion Pharmaceuticals, Inc.",4.76,$664.94M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACHN,achillion.com,VEVA Building #14,Suite 200 1777 Sentry Parkway West,Blue Bell,PA,19422,United States,56,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=achillion.com,ACHN,achillion.com,ACHILLION PHARMACEUTICALS,300 GEORGE ST,NEW HAVEN,CT,,US,Public,75,Chemicals (Pharmaceutical and Drug),2834,28,TRUE
ACHV,"Achieve Life Sciences, Inc. ",1.79,$14.49M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,,https://crawl.versium.com/finance.php?cmd=readall&ticker=MCD,mcdonalds.com,110 North Carpenter Street,,Chicago,IL,60607,United States,210000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=mcdonalds.com, , , , , , , , , , , , , ,
ACIA,"Acacia Communications, Inc.",64.92,$2.67B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACIA,acacia-inc.com,Three Mill and Main Place,Suite 400,Maynard,MA,1754,United States,386,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=acacia-inc.com,,acacia-inc.com,ACACIA,THREE CLOCK TOWER PL STE 210,MAYNARD,MA,,US,Private,75,,,,
ACIU,AC Immune SA,5.41,$365.51M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACIU,acimmune.com,Building B,EPFL Innovation Park,Lausanne,,1015,Switzerland,92,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=acimmune.com,,acimmune.com,AC IMMUNE,EPFL INNOVATION PARK BUILDING B,LAUSANNE,,,CH,Private,75,Chemicals (Pharmaceutical and Drug),2834,28,
ACIW,"ACI Worldwide, Inc.",28.83,$3.36B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACIW,aciworldwide.com,3520 Kraft Road,Suite 300,Naples,FL,34105,United States,3807,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=aciworldwide.com,ACIW,aciworldwide.com,ACI WORLDWIDE,3520 KRAFT RD STE 300,NAPLES,FL,34105,US,Public,5000,"Business Services (Software, Programming, IT)",7372,73,TRUE
ACLS,"Axcelis Technologies, Inc.",15,$484.98M,2000,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACLS,axcelis.com,108 Cherry Hill Drive,,Beverly,MA,1915,United States,992,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=axcelis.com,ACLS,axcelis.com,AXCELIS TECHNOLOGIES,108 CHERRY HILL DR,BEVERLY,MA,1915,US,Public,879,Industrial and Commercial Machinery,3559,35,TRUE
ACM,AECOM,32.48,$5.12B,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACM,aecom.com,1999 Avenue of the Stars,Suite 2600,Los Angeles,CA,90067,United States,87000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=aecom.com,,aecom.com,AECOM,1999 AVENUE OF THE STARS STE 2600,LOS ANGELES,CA,90067,US,Private,10000,"Engineering, Architectural, And Surveying",8711,87,
ACMR,"ACM Research, Inc.",14.51,$234.23M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,,https://crawl.versium.com/finance.php?cmd=readall&ticker=CAJ,global.canon,"30-2, Shimomaruko 3-chome",Ohta-ku,Tokyo,,146-8501,Japan,195056,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=global.canon, , , , , , , , , , , , , ,
